key,instantiationUpdateMoment,displayStart,displayFinish,linkPicture,slogan,linkTarget
banner-01,2000/01/01 00:00,2020/06/07 23:00,2020/06/17 23:00,http://HellowWorldbanner01.com,slogan,http://HellowWorldbanner01.com
banner-02,2001/02/02 01:01,2000/01/01 00:05,2000/01/09 00:05,http://HellowWorldbanner02.com,slogan,http://HellowWorldbanner02.com
banner-03,2010/06/06 09:10,2000/01/20 00:05,2000/12/30 00:05,http://HellowWorldbanner03.com,slogan,http://HellowWorldbanner03.com
banner-04,2019/06/29 23:59,2200/01/20 00:05,2200/12/30 00:05,http://04.com,slogan,http://HellowWorldbanner04.com
banner-05,2020/07/30 00:00,2200/01/20 00:05,2200/12/30 00:05,http://HellowWorldbanner05.com-----------------------------------------------------------,slogan,http://HellowWorldbanner05.com
banner-06,2010/06/06 09:10,2000/01/01 00:00,2200/12/30 00:05,http://H中e-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------llowWorldbanner06.com,slogan,http://HellowWorldbanner06.com
banner-07,2010/06/06 09:10,2010/06/06 09:10,2020/06/17 23:00,http://HellowWorldbanner07.com,s,http://HellowWorldbanner07.com
banner-08,2010/06/06 09:10,2199/11/30 22:58,2020/06/17 23:00,http://HellowWorldbanner08.com,slogan-----------------------------------------------------,http://HellowWorldbanner08.com
banner-09,2010/06/06 09:10,2200/12/31 23:59,2020/06/17 23:00,http://HellowWorldbanner09.com,sبlog--------------------------------------------------------------------an,http://HellowWorldbanner09.com
banner-10,2010/06/06 09:10,2010/06/06 09:10,2000/01/01 00:00,http://HellowWorldbanner10.com,slogan,http://10.com
banner-11,2010/06/06 09:10,2010/06/06 09:10,2010/06/06 09:10,http://HдellowWorldbanner11.com,slogan,http://Hell----------------------owWorldbanner11.com
banner-12,2010/06/06 09:10,2010/06/06 09:10,2199/11/30 22:58,http://HдellowWorldbanner11.com,slogan,http://Hell----------------------owWorldbanner11.com
banner-13,2010/06/06 09:10,2010/06/06 09:10,2200/12/31 23:59,http://HдellowWorldbanner11.com,slogan,http://Hell----------------------owWorldbanner11.com
banner-14,2010/06/06 09:10,2010/06/06 09:10,2001/02/02 01:01,http://HдellowWorldbanner11.com,slogan,http://Hell----------------------owWorldbanner11.com
banner-15,2010/06/06 09:10,2001/02/02 01:01,2010/06/06 09:10,http://HдellowWorldbanner11.com,slogan,http://Hell----------------------owWorldbanner11.com
banner-16,2010/06/06 09:10,2010/06/06 09:10,2001/02/02 01:01,http://HellowWorldbanner01.com,slogan,http://Hell----------------------owWorldbanner11.com
banner-17,2010/06/06 09:10,2010/06/06 09:10,2001/02/02 01:01,ftp://ftp.example.org1,slogan,http://Hell----------------------owWorldbanner11.com
banner-18,2010/06/06 09:10,2010/06/06 09:10,2001/02/02 01:01,http://AcmeJobCon255Caracteres---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,slogan,http://Hell----------------------owWorldbanner11.com
banner-19,2010/06/06 09:10,2010/06/06 09:10,2001/02/02 01:01,http://AcmeJobCon255Caracteres--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,slogan,http://Hell----------------------owWorldbanner11.com
banner-20,2010/06/06 09:10,2010/06/06 09:10,2001/02/02 01:01,http://example.com/page?param1=value1&param2=value2,slogan,http://Hell----------------------owWorldbanner11.com
banner-21,2010/06/06 09:10,2010/06/06 09:10,2001/02/02 01:01,http://example.org/api?key=123456789&format=json,slogan,http://Hell----------------------owWorldbanner11.com
banner-22,2010/06/06 09:10,2010/06/06 09:10,2001/02/02 01:01,ftp://ftp.example.com/file.txt?user=username&password=12345,slogan,http://Hell----------------------owWorldbanner11.com
banner-23,2010/06/06 09:10,2010/06/06 09:10,2001/02/02 01:01,http://AcmeSF,slogan,http://Hell----------------------owWorldbanner11.com
banner-24,2010/06/06 09:10,2010/06/06 09:10,2001/02/02 01:01,http://AcmeSF,s,http://Hell----------------------owWorldbanner11.com
banner-25,2010/06/06 09:10,2010/06/06 09:10,2001/02/02 01:01,http://AcmeSF,sl,http://Hell----------------------owWorldbanner11.com
banner-26,2010/06/06 09:10,2010/06/06 09:10,2001/02/02 01:01,http://AcmeSF,Esto es un ejemplo de details con 50 caracteres---,http://Hell----------------------owWorldbanner11.com
