key,code,instantiation_moment,provider_name,customer_name,goals,budget,published,key:project,key:client
contract-00,AAA-000,2002/03/20 00:00,Provider1,Customer1,Project goals,5000.0 EUR,true,project-31,client-00
contract-01,AAA-001,2000/01/01 00:00,Provider1,Customer1,Project goals,5000.0 EUR,true,project-31,client-01
contract-02,AAA-002,2000/01/01 00:01,Provider1,Customer1,Project goals,5000.0 EUR,true,project-31,client-02
contract-03,AAA-003,2022/07/29 23:59,Provider1,Customer1,Project goals,5000.0 EUR,true,project-31,client-03
contract-04,AAA-004,2022/07/30 00:00,Provider1,Customer1,Project goals,5000.0 EUR,true,project-31,client-04
contract-05,AAA-005,2000/02/29 00:00,Provider1,Customer1,Project goals,5000.0 EUR,true,project-31,client-05
contract-06,AAA-006,2002/03/20 00:00,P,Customer1,Project goals,5000.0 EUR,true,project-31,client-06
contract-07,AAA-007,2002/03/20 00:00,Pr,Customer1,Project goals,5000.0 EUR,true,project-31,client-07
contract-08,AAA-008,2002/03/20 00:00,Esto es un proveedor con 74 caracteres -----------------------------------,Customer1,Project goals,5000.0 EUR,true,project-31,client-08
contract-09,AAA-009,2002/03/20 00:00,Esto es un proveedor con 75 caracteres ------------------------------------,Customer1,Project goals,5000.0 EUR,true,project-31,client-09
contract-10,AAA-010,2002/03/20 00:00,プロジェクト,Customer1,Project goals,5000.0 EUR,true,project-31,client-10
contract-11,AAA-011,2002/03/20 00:00,<h1>HolaMundo<h1>,Customer1,Project goals,5000.0 EUR,true,project-31,client-11
contract-12,AAA-012,2002/03/20 00:00,'OR 'A' = 'A,Customer1,Project goals,5000.0 EUR,true,project-31,client-12
contract-13,AAA-013,2002/03/20 00:00,Provider1,C,Project goals,5000.0 EUR,true,project-31,client-13
contract-14,AAA-014,2002/03/20 00:00,Provider1,Cu,Project goals,5000.0 EUR,true,project-31,client-14
contract-15,AAA-015,2002/03/20 00:00,Provider1,Esto es un cliente con 74 caracteres -------------------------------------,Project goals,5000.0 EUR,true,project-31,client-15
contract-16,AAA-016,2002/03/20 00:00,Provider1,Esto es un cliente con 75 caracteres --------------------------------------,Project goals,5000.0 EUR,true,project-31,client-16
contract-17,AAA-017,2002/03/20 00:00,Provider1,プロジェクト,Project goals,5000.0 EUR,true,project-31,client-17
contract-18,AAA-018,2002/03/20 00:00,Provider1,<h1>HolaMundo<h1>,Project goals,5000.0 EUR,true,project-31,client-18
contract-19,AAA-019,2002/03/20 00:00,Provider1,'OR 'A' = 'A,Project goals,5000.0 EUR,true,project-31,client-19
contract-20,AAA-020,2002/03/20 00:00,Provider1,Customer1,P,5000.0 EUR,true,project-31,client-20
contract-21,AAA-021,2002/03/20 00:00,Provider1,Customer1,Pr,5000.0 EUR,true,project-31,client-21
contract-22,AAA-022,2002/03/20 00:00,Provider1,Customer1,Esto es un objetivo del proyecto con 99 caracteres ------------------------------------------------,5000.0 EUR,true,project-31,client-22
contract-23,AAA-023,2002/03/20 00:00,Provider1,Customer1,Esto es un objetivo del proyecto con 100 caracteres ------------------------------------------------,5000.0 EUR,true,project-31,client-23
contract-24,AAA-024,2002/03/20 00:00,Provider1,Customer1,プロジェクト,5000.0 EUR,true,project-31,client-24
contract-25,AAA-025,2002/03/20 00:00,Provider1,Customer1,<h1>HolaMundo<h1>,5000.0 EUR,true,project-31,client-25
contract-26,AAA-026,2002/03/20 00:00,Provider1,Customer1,'OR 'A' = 'A,5000.0 EUR,true,project-31,client-26
contract-27,AAA-027,2002/03/20 00:00,Provider1,Customer1,Project goals,0.00 EUR,true,project-31,client-27
contract-28,AAA-028,2002/03/20 00:00,Provider1,Customer1,Project goals,0.01 EUR,true,project-31,client-28
contract-29,AAA-029,2002/03/20 00:00,Provider1,Customer1,Project goals,999999.00 EUR,true,project-31,client-29
contract-30,AAA-030,2002/03/20 00:00,Provider1,Customer1,Project goals,1000000.00 EUR,true,project-31,client-30
contract-31,AAA-031,2002/03/20 00:00,Provider1,Customer1,Project goals,5000.0 EUR,false,project-31,client-31
