key,code,registrationTime,dueDate,quantity,tax,link,key:sponsorship,published
invoices-01,IN-1111-1111,2000/01/01 00:00,2022/03/14 16:48,1.00 EUR,0.5,http://HellowWorldinvoice01.com/,sponsorships-01,false
invoices-02,IN-2222-2222,2001/02/02 01:01,2022/03/14 16:48,1.00 EUR,1.0,http://HellowWorldinvoice02.com/,sponsorships-01,false
invoices-03,IN-3333-3333,2010/06/06 09:10,2001/08/16 16:48,1.00 EUR,0.5,http://HellowWorldinvoice03.com/,sponsorships-01,false
invoices-04,IN-4444-4444,2019/06/29 23:59,2022/03/14 16:48,1.00 EUR,0.5,http://HellowWorldinvoice04.com/,sponsorships-01,false
invoices-05,IN-5555-5555,2020/07/30 00:00,2022/03/14 16:48,1.00 EUR,0.5,http://HellowWorldinvoice05.com/,sponsorships-01,false
invoices-06,IN-6666-6666,2010/06/06 09:10,2000/01/01 00:00,1.00 EUR,0.5,http://HellowWorldinvoice06.com/,sponsorships-01,false
invoices-07,IN-7777-7777,2010/06/06 09:10,2001/02/02 01:01,1.00 EUR,0.5,http://HellowWorldinvoice07.com/,sponsorships-01,false
invoices-08,IN-8888-8888,2010/06/06 09:10,2010/06/06 09:10,1.00 EUR,0.5,http://h08,sponsorships-01,false
invoices-09,IN-9999-9999,2010/06/06 09:10,2199/11/30 22:58,1.00 EUR,0.7,http://HellowWorldinvoice09.com/-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,sponsorships-01,false
invoices-10,IN-1010-1010,2010/06/06 09:10,2200/12/31 23:59,1.00 EUR,0.9,http://HellowWorldinvoice10.com/,sponsorships-01,false
invoices-11,IN-0011-0011,2010/06/06 09:10,2010/06/06 09:10,0.00 EUR,0.5,http://HellowWorldinvoice11.com/,sponsorships-01,false
invoices-12,IN-1200-0000,2010/06/06 09:10,2010/06/06 09:10,1.00 EUR,0.5,http://HellowWorldinvoice11.com/,sponsorships-01,false
invoices-13,IN-1300-0000,2010/06/06 09:10,2010/06/06 09:10,500000 EUR,0.5,http://HellowWorldinvoice11.com/,sponsorships-01,false
invoices-14,IN-1400-0000,2010/06/06 09:10,2010/06/06 09:10,999999 EUR,0.5,http://HellowWorldinvoice11.com/,sponsorships-01,false
invoices-15,IN-1500-0000,2010/06/06 09:10,2010/06/06 09:10,1000000 EUR,0.5,http://HellowWorldinvoice11.com/,sponsorships-01,false
invoices-16,IN-1600-0000,2010/06/06 09:10,2010/06/06 09:10,1.00 EUR,0.0,http://HellowWorldinvoice11.com/,sponsorships-01,false
invoices-17,IN-1700-0000,2010/06/06 09:10,2010/06/06 09:10,1.00 EUR,0.1,http://HellowWorldinvoice11.com/,sponsorships-01,false
invoices-18,IN-1800-0000,2010/06/06 09:10,2010/06/06 09:10,1.00 EUR,0.5,http://HellowWorldinvoice11.com/,sponsorships-01,false
invoices-19,IN-1900-0000,2010/06/06 09:10,2010/06/06 09:10,1.00 EUR,0.9,http://HellowWorldinvoice11.com/,sponsorships-01,false
invoices-20,IN-2000-0000,2010/06/06 09:10,2010/06/06 09:10,1.00 EUR,1.0,http://HellowWorldinvoice11.com/,sponsorships-01,false
invoices-21,IN-2100-0000,2010/06/06 09:10,2010/06/06 09:10,1.00 EUR,0.5,,sponsorships-01,false
invoices-22,IN-2200-0000,2010/06/06 09:10,2010/06/06 09:10,1.00 EUR,0.5,ftp://ftp.example.org1,sponsorships-01,false
invoices-23,IN-2300-0000,2010/06/06 09:10,2010/06/06 09:10,1.00 EUR,0.5,http://AcmeJobCon255Caracteres---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,sponsorships-01,false
invoices-24,IN-2400-0000,2010/06/06 09:10,2010/06/06 09:10,1.00 EUR,0.5,http://AcmeJobCon255Caracteres--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,sponsorships-01,false
invoices-25,IN-2500-0000,2010/06/06 09:10,2010/06/06 09:10,1.00 EUR,0.5,http://example.com/page?param1=value1&param2=value2,sponsorships-01,false
invoices-26,IN-2600-0000,2010/06/06 09:10,2010/06/06 09:10,1.00 EUR,0.5,http://example.org/api?key=123456789&format=json,sponsorships-01,false
invoices-27,IN-2700-0000,2010/06/06 09:10,2010/06/06 09:10,1.00 EUR,0.5,ftp://ftp.example.com/file.txt?user=username&password=12345,sponsorships-01,false
invoices-28,IN-2800-0000,2010/06/06 09:10,2010/06/06 09:10,1.00 EUR,0.5,http://AcmeSF,sponsorships-01,false
